Date,Time,Item,Price,Quantity,Total,Customer ID,Payment Method,Employee ID,Customer Satisfaction,Weather,Special Offers
2024-04-01,12:15,Sandwich,4.50,2,9.00,001,Cash,101,4,Sunny,Yes
2024-04-01,12:30,Drink,1.50,1,1.50,002,Card,102,3,Sunny,No
2024-04-01,12:45,Salad,5.00,1,5.00,003,Mobile Payment,103,5,Cloudy,Yes
2024-04-01,13:00,Burger,5.50,1,5.50,004,Cash,104,4,Sunny,No
2024-04-01,13:15,Sandwich,4.50,1,4.50,005,Card,105,3,Sunny,Yes
2024-04-01,13:30,Drink,1.50,2,3.00,006,Mobile Payment,106,5,Cloudy,No
2024-04-01,13:45,Salad,5.00,1,5.00,007,Cash,107,4,Rainy,Yes
2024-04-01,14:00,Burger,5.50,2,11.00,008,Card,108,3,Sunny,No
2024-04-02,12:00,Sandwich,4.50,1,4.50,009,Mobile Payment,109,5,Rainy,Yes
2024-04-02,12:15,Drink,1.50,1,1.50,010,Cash,110,4,Sunny,No
2024-04-02,12:30,Salad,5.00,2,10.00,011,Card,111,3,Cloudy,Yes
2024-04-02,12:45,Burger,5.50,1,5.50,012,Mobile Payment,112,5,Rainy,No
2024-04-02,13:00,Sandwich,4.50,2,9.00,013,Cash,113,4,Sunny,Yes
2024-04-02,13:15,Drink,1.50,1,1.50,014,Card,114,3,Cloudy,No
2024-04-02,13:30,Salad,5.00,1,5.00,015,Mobile Payment,115,5,Sunny,Yes
2024-04-02,13:45,Burger,5.50,1,5.50,016,Cash,116,4,Rainy,No
2024-04-03,12:00,Sandwich,4.50,1,4.50,017,Card,117,3,Sunny,No
2024-04-03,12:15,Drink,1.50,2,3.00,018,Mobile Payment,118,4,Cloudy,Yes
2024-04-03,12:30,Salad,5.00,1,5.00,019,Cash,119,5,Rainy,No
2024-04-03,12:45,Burger,5.50,1,5.50,020,Card,120,4,Sunny,Yes
2024-04-03,13:00,Sandwich,4.50,2,9.00,021,Mobile Payment,121,3,Cloudy,No
2024-04-03,13:15,Drink,1.50,1,1.50,022,Cash,122,5,Sunny,Yes
2024-04-03,13:30,Salad,5.00,1,5.00,023,Card,123,4,Rainy,No
2024-04-03,13:45,Burger,5.50,2,11.00,024,Mobile Payment,124,3,Sunny,Yes
2024-04-04,12:00,Sandwich,4.50,1,4.50,025,Cash,125,5,Cloudy,No
2024-04-04,12:15,Drink,1.50,1,1.50,026,Card,126,4,Rainy,Yes
2024-04-04,12:30,Salad,5.00,2,10.00,027,Mobile Payment,127,3,Sunny,No
2024-04-04,12:45,Burger,5.50,1,5.50,028,Cash,128,5,Cloudy,Yes
2024-04-04,13:00,Sandwich,4.50,2,9.00,029,Card,129,4,Rainy,No
2024-04-04,13:15,Drink,1.50,1,1.50,030,Mobile Payment,130,3,Sunny,Yes
2024-04-04,13:30,Salad,5.00,1,5.00,031,Cash,131,5,Cloudy,No
2024-04-04,13:45,Burger,5.50,1,5.50,032,Card,132,4,Rainy,Yes
2024-04-05,12:00,Sandwich,4.50,2,9.00,033,Mobile Payment,133,3,Sunny,No
2024-04-05,12:15,Drink,1.50,1,1.50,034,Cash,134,4,Cloudy,Yes
2024-04-05,12:30,Salad,5.00,1,5.00,035,Card,135,5,Rainy,No
2024-04-05,12:45,Burger,5.50,2,11.00,036,Mobile Payment,136,3,Sunny,Yes
2024-04-05,13:00,Sandwich,4.50,1,4.50,037,Cash,137,4,Cloudy,No
2024-04-05,13:15,Drink,1.50,1,1.50,038,Card,138,5,Rainy,Yes
2024-04-05,13:30,Salad,5.00,2,10.00,039,Mobile Payment,139,3,Sunny,No
